tx hash,permit,token,amount,exact in,amountIn,inPath,exact out,amountOut,outPath
0xc9b8890a2a8bd94343939e744904fa31afc7444edf87171d2be86acb12db8bb3,----,,,++++,70000000000000000,"['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0xe8ceaAd8CB289d3e05775DC82060c4492CcE3E21']",----,,
0x99eb7faac5edad2a75ef4ee383d2d4110241e877a0ecfecf92da15761ace0287,----,,,----,,,++++,230000000000,"('0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 10000, '0x738865301A9b7Dd80Dc3666dD48cF034ec42bdDa')"
0x3923236a3650a1c532c7597e54e90d68a4c768e5be66badf3980ae08b930b46c,++++,0x0060032487F2FDCFf4eAd14Bb38F7dB7025f16Cb,1461501637330902918203684832716283019655932542975,++++,70000000000000000000000000,"['0x0060032487F2FDCFf4eAd14Bb38F7dB7025f16Cb', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",----,,
0x1ffbbd4803a137efdbe02fc14135b3c05b3ae1518c02ecf90ce378c961607e9a,----,,,++++,600000000000000000,"['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0x26b17fC034b82A20563dbB02EC9E78B1D65d7a58']",----,,
0xef2983912eaf39dd6fb5e4da37160ff6c886abe875316e05ca61067f893cf3ed,----,,,++++,200000000000000000,"['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0x26b17fC034b82A20563dbB02EC9E78B1D65d7a58']",----,,
0x10d82817c40c0b10fccf0fff220a76fadae64b97b588bfb33359810bc70f1735,++++,0x79BF5D97777ad512f93178dD8BCd341f44d1314F,1461501637330902918203684832716283019655932542975,++++,140694131149252986665598775605,"('0x79BF5D97777ad512f93178dD8BCd341f44d1314F', 10000, '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2')",----,,
0x579a5f52ae23419519a83ac1610ee9052eb7702f5f9569954368892adf712bd6,++++,0x20CDECBF5d56870b4068a255580a58D068446c92,1461501637330902918203684832716283019655932542975,++++,9000000000000000,"['0x20CDECBF5d56870b4068a255580a58D068446c92', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",----,,
0x259fb16dacd2c3aef1f9dce5338516e1f3acc584ce7c3e26ae7ff549d1625075,----,,,++++,30000000000000000,"['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0xFe1EF2B469846D1832B25095ff51B004f090E0C6']",----,,
0x5a418ce91521f4f9e0fa642423467b60cb9d53edd409a15e15772eebf3e79389,++++,0xF0994613ec37e8BAA65740820186B7eA68015B0b,1461501637330902918203684832716283019655932542975,++++,7638953560253374921753103687,"['0xF0994613ec37e8BAA65740820186B7eA68015B0b', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",----,,
0x44d59c43be77d0118813750ce93ea8c0b0cfab71b08c9653da08b4253000da2c,----,,,++++,95000000000000000,"('0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 3000, '0xF0EDAC27Aa3E85E2D176F689B0025f90C154393a')",----,,
0x714a54f80bdc8fad0a761eaa55f511f5d42f9dd84a4173efbd2b6a2002be25fe,----,,,++++,70000000000000000,"['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0xE30EeEcdDa9157B350C37Ad58E140EDf19874E55']",----,,
0xfb1116458784d33abc4ca7ef618b8da7f39921ec6106505382b4e0f19b58a333,++++,0xa62d8FFB8d0Ca7d3938cd3776F6630Fc5dBadA79,1461501637330902918203684832716283019655932542975,----,,,++++,410000000,"['0xa62d8FFB8d0Ca7d3938cd3776F6630Fc5dBadA79', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0xdAC17F958D2ee523a2206206994597C13D831ec7']"
0xe67536718269cf721ffea98f3a38f47e8c591b68ac7b1149976ac1aa90f3fefb,----,,,++++,469138972000000000,"('0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 3000, '0xF0EDAC27Aa3E85E2D176F689B0025f90C154393a')",----,,
0x405086ec423594cde41729d1652d160d9e377511e7529e9c30b42e8d6e595047,++++,0xc27692916b733767aa42C91e228daFD74D6DaCb5,1461501637330902918203684832716283019655932542975,++++,2500000000000000000000000,"['0xc27692916b733767aa42C91e228daFD74D6DaCb5', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",----,,
0x0c849124ccd350d4e73bc966a10464793c025d9f7391d81150441d820132e90b,----,,,++++,1500000000000000000,"['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0xF03D5fC6E08dE6Ad886fCa34aBF9a59ef633b78a']",----,,
0xf43cc821ee54005a554e3ae39ee5a2ea6658d7ea9f7fa527ee246a3dfc3c3eea,++++,0x54D8517985E74D5708fe45621C8E945C9e4218B9,2324309239000000000000000000,++++,2324309239000000000000000000,"('0x54D8517985E74D5708fe45621C8E945C9e4218B9', 3000, '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2')",----,,
0x169dfa6f85e9530922455d63ca92304dda378bb71022493f26971a57d8697e99,++++,0xF190dbD849E372FF824e631a1FdF199f38358BCf,59889950355375982999798,++++,59889950355375982999798,"('0xF190dbD849E372FF824e631a1FdF199f38358BCf', 3000, '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2')",----,,
0x0dd781e4b17fb3e1929d6ac8d81b31ead6a3ec61fbaa887417d75850cbd9ea38,++++,0x12970E6868f88f6557B76120662c1B3E50A646bf,1461501637330902918203684832716283019655932542975,++++,3860283280659920846087293187,"['0x12970E6868f88f6557B76120662c1B3E50A646bf', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0x271a66F8c4728b07A6a8D3895cf825f4A0791d3C']",----,,
0x0b52e753b91fc1a70ce879fa3a485c8c0712a4732c4b0789909cc1fae21fa033,++++,0xF0994613ec37e8BAA65740820186B7eA68015B0b,1461501637330902918203684832716283019655932542975,++++,9269771246173004639746373169,"['0xF0994613ec37e8BAA65740820186B7eA68015B0b', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",----,,
0xf273847f61fcca2278aa2eeb51bfd7e08572ff727fad077aea52bbae5d5cd966,----,,,++++,57896044618658097711785492504343953926634992332820282019728792003956564819968,"('0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 500, '0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48')",----,,
0x37d5c2714596b203920bf1a46840ea09a205b3a5729187761906846c9d239af3,----,,,++++,72000000000000000,"['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0x6Bc40d4099f9057b23aF309C08d935b890d7Adc0']",----,,
0xff400d2e0613c34a1cf21af60f738ddb7714c961412f97072a4db5edc6be2cbc,----,,,++++,543500000000000000,"['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0xa29681A78416C689A955E3E9e61348B348B9532D']",----,,
0xdb33417e8846d4e510621d1e6e1daef9e37e7885cadc2778fa2a2f29f5b0b0a9,++++,0x0ebE30595a44E5288C24161dDfC1E9fa08E33a0C,1461501637330902918203684832716283019655932542975,++++,3819277013260856064037381574,"['0x0ebE30595a44E5288C24161dDfC1E9fa08E33a0C', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",----,,
0xbebd14511559adb82df51b612d30fcf1da86d083b9d6ecae1c827906c4074e34,----,,,++++,73000000000000000,"['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0x0D58df0929b6bAf8ED231f3Fa672F0e5DcD665f7']",----,,
0xbf74aa0d1f80c2bb6f0fb4013406b960877129f98d318af8988eb9d28f519fe2,----,,,++++,100000000000000000,"['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0x113c8c68233bfA859230d09Abde89E2B483E3F91']",----,,
0xc7282a81b6634696fa4bb59b1c85fc24c6afdaee11acbf2ce5444391a3401ecb,----,,,++++,89000000000000000,"['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0xBF9E1fD930d3507701293e66eBb8d940209fbae3']",----,,
0x433af1f9ebf02d2ef3d62ba71819f88ea5953146333e2b4489bef2a18bbfcc66,----,,,++++,200000000000000000,"['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0x07bE107573a50A741231FF17E93dB323fD89DdFb']",----,,
0x10951590043a0fec6b912c480e0ce6dbb9a586aadbe571363f8bb582a74df46d,++++,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,1461501637330902918203684832716283019655932542975,++++,1000000000,"('0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48', 500, '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2')",----,,
0xb2efb4b16d2c2de8800b3a21d12518becdcd8c47943f5cafe8d923c57832a24b,----,,,++++,4934628,"['0x11f9e9B3c539368BEA16DDE2108B748a9672D714', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",----,,
0xa0a0289cea723ddb78e98a4809d760620aa89aead244b483ec55375df61c5dd0,----,,,++++,35000000000000000,"['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0x1e2b3338A7331F6B21ceABeF29e68B74F11c3207']",----,,
